slice,scene,pairs,glacier_pct,debris_pct,patches_with_glacier,patches_with_debris
0,LE07_149037_20041024,210,0.03669920421781994,0.002635774158296131,9,2
1,LE07_149034_20060726,210,0.8715693155924479,0.002815609886532738,26,5
2,LE07_146038_20060923,210,3.5359464372907365,0.38830166771298363,93,60
3,LE07_147038_20040908,195,3.201442620693109,0.3154950264172676,64,38
4,LE07_143039_20081212,195,0.6264652350010016,0.07057581192407852,30,13
5,LE07_146037_20071231,210,1.0818499610537575,0.0005540393647693452,78,3
6,LE07_149036_20071102,210,1.608672369094122,0.11007944742838542,92,14
7,LE07_150036_20050916,210,0.6881604875837054,0.006395975748697917,48,2
8,LE07_151035_20060708,210,4.532183692568824,0.4969260806129092,133,82
9,LE07_148037_20071127,195,4.905104025816306,0.4699961344401042,75,46
10,LE07_151034_20050822,210,2.5717272077287947,0.17908368791852677,47,32
11,LE07_139041_20051208,195,1.8714102720602965,0.2951910556891026,35,21
12,LE07_148035_20061108,195,6.223377325595954,0.9017220521584536,51,42
13,LE07_137041_20060127,210,0.3204327537899926,0.015999930245535716,22,5
14,LE07_148036_20050902,195,5.595701168744992,0.30025384364983976,135,60
15,LE07_145039_20011020,210,3.7139674595424106,0.6355812436058408,56,42
16,LE07_149035_20070915,210,9.989406040736608,1.4742660522460938,127,85
17,LE07_136041_20060731,195,0.21158658541165865,0.003151526817908654,14,1
18,LE07_136040_20060731,195,0.05969512156951122,0.0,5,0
19,LE07_135040_20081102,195,0.007555056840945513,0.0,2,0
20,LE07_146039_20051123,210,1.5660186040969122,0.21949404761904762,20,14
21,LE07_146036_20090814,210,0.8955310639880952,0.0016112554640997025,26,3
22,LE07_140041_20071221,195,1.4614985539362981,0.30914893517127406,27,20
23,LE07_150035_20050916,210,6.084353129069011,0.6128056844075521,141,73
24,LE07_147037_20060930,195,5.879426613832131,0.3905350122696314,149,50
25,LE07_150034_20050916,210,4.569783891950335,0.26576450892857145,72,39
26,LE07_147036_20060930,195,6.665072318835136,0.22939241849459135,116,40
27,LE07_152035_20060917,195,1.718008579351963,0.22955674391526443,106,68
28,LE07_152034_20060731,195,0.8449613131009616,0.0081634521484375,45,4
29,LE07_147035_20050826,210,0.13001578194754465,0.026415870303199404,6,3
30,LE07_134040_20070922,210,0.10737827845982142,0.0,14,0
31,LE07_153036_20060924,210,0.00843048095703125,0.0019291469029017857,9,6
32,LE07_144039_20011013,195,1.7147396772335737,0.2363136487129407,51,33
33,LE07_152033_20060731,195,0.15161954439603365,0.0,9,0
34,LE07_138041_20071223,195,1.3551565317007213,0.20079392653245193,37,22
